Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,Yrs,event
23,2003,NBA,1,23,POR,Travis Outlaw\outlatr01,18.285,F,us,NA,2004,2014,622,20.9,8.5,3.2,0.8,0.5,0.6,0.423,0.447,0.337,0.744,16.5,11,1
24,2003,NBA,1,24,LAL,Brian Cook\cookbr01,22.209,F,us,Illinois,2004,2012,421,13.4,5.5,2.6,0.6,0.3,0.3,0.439,0.467,0.382,0.783,10.2,9,1
25,2003,NBA,1,25,DET,Carlos Delfino\delfica01,20.306,G,ar,NA,2005,2013,507,22.8,8.1,3.6,1.7,0.9,0.2,0.401,0.438,0.365,0.758,22.5,9,1
26,2003,NBA,1,26,MIN,Ndudi Ebi\ebind01,19.012,F,gb,NA,2004,2005,19,4.5,2.1,1,0.2,0.1,0.3,0.486,0.5,0,0.462,0.1,2,1
27,2003,NBA,1,27,MEM,Kendrick Perkins\perkike01,18.232,C,us,NA,2004,2018,782,21.9,5.4,5.8,1,0.3,1.2,0.53,0.532,0,0.594,27.9,15,1
28,2003,NBA,1,28,SAS,Leandro Barbosa\barbole01,20.215,G,br,NA,2004,2017,850,21.6,10.6,2,2.1,0.8,0.1,0.459,0.498,0.387,0.821,37.4,14,1
29,2003,NBA,1,29,DAL,Josh Howard\howarjo01,23.064,F-G,us,Wake Forest,2004,2013,507,30.3,14.3,5.7,1.6,1,0.5,0.448,0.471,0.332,0.77,38,10,1
30,2003,NBA,2,30,NYK,Maciej Lampe\lampema01,18.145,C,pl,NA,2004,2006,64,9.9,3.4,2.2,0.3,0.1,0.2,0.407,0.413,0.25,0.676,-0.2,3,1
31,2003,NBA,2,31,CLE,Jason Kapono\kaponja01,22.147,F,us,UCLA,2004,2012,509,17.8,6.7,1.7,0.8,0.4,0,0.442,0.446,0.434,0.835,10.3,9,1
32,2003,NBA,2,32,LAL,Luke Walton\waltolu01,23.095,F,us,Arizona,2004,2013,564,17.2,4.7,2.8,2.3,0.6,0.2,0.429,0.459,0.326,0.715,13.5,10,1
33,2003,NBA,2,33,MIA,Jerome Beasley\beaslje01,23.045,F,us,University of North Dakota,2004,2004,2,2.5,1,0.5,0,0,0,0.333,0.333,0,0,0,1,0
34,2003,NBA,2,34,LAC,Sofoklis Schortsanitis\schorso01,18.008,C,cm,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,2003,NBA,2,35,MIL,Szymon Szewczyk\szewcsz01,20.192,F-C,pl,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,2003,NBA,2,36,CHI,Mario Austin\austima01,21.125,F-C,us,Mississippi State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37,2003,NBA,2,37,ATL,Travis Hansen\hansetr01,25.078,G,us,BYU,2004,2004,41,12.4,3,1.7,0.5,0.2,0.2,0.354,0.37,0.3,0.815,0.2,1,1
38,2003,NBA,2,38,WAS,Steve Blake\blakest01,23.126,G,us,Maryland,2004,2016,870,23.9,6.5,2.1,4,0.7,0.1,0.401,0.42,0.383,0.779,29.1,13,1
39,2003,NBA,2,39,NYK,Slavko Vraneš\vranesl01,20.152,C,rs,NA,2004,2004,1,3,0,0,0,0,0,0,0,0,0,0,1,0
40,2003,NBA,2,40,GSW,Derrick Zimmerman\zimmede01,21.211,G,us,Mississippi State,2006,2006,2,16,2,2,3.5,0,0,0.667,0.667,0,0,0,1,0
41,2003,NBA,2,41,SEA,Willie Green\greenwi01,21.338,G,us,Detroit Mercy,2004,2015,731,20.2,8.3,1.8,1.4,0.5,0.1,0.425,0.454,0.346,0.765,12.9,12,1
42,2003,NBA,2,42,ORL,Zaza Pachulia\pachuza01,19.141,C,ge,NA,2004,2019,1098,20.3,6.8,5.8,1.3,0.7,0.3,0.469,0.472,0,0.751,52.7,16,1
43,2003,NBA,2,43,MIL,Keith Bogans\boganke01,23.05,G-F,us,Kentucky,2004,2014,671,21.6,6.3,2.7,1.3,0.6,0.1,0.394,0.442,0.353,0.716,20.4,11,1
44,2003,NBA,2,44,HOU,Malick Badiane,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45,2003,NBA,2,45,CHI,Matt Bonner\bonnema01,23.087,F,us,Florida,2005,2016,792,16.9,5.8,3,0.7,0.4,0.3,0.464,0.516,0.414,0.78,38.5,12,1
46,2003,NBA,2,46,DEN,Sani Bečirovič\becirsa01,22.043,G,si,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47,2003,NBA,2,47,UTA,Mo Williams\willima01,20.194,G,us,Alabama,2004,2016,818,29.2,13.2,2.8,4.9,0.9,0.1,0.434,0.46,0.378,0.871,40,13,1
48,2003,NBA,2,48,NOH,James Lang\langja01,19.257,C,us,NA,2007,2007,11,5,1,1,0.2,0,0.3,0.444,0.444,0,0.6,0.1,1,1
49,2003,NBA,2,49,IND,James Jones\jonesja02,22.27,F-G,us,Miami (FL),2004,2017,709,15.7,5.2,1.8,0.5,0.3,0.3,0.401,0.402,0.401,0.84,25.2,14,1
